name,Scientific Name,Endemic Status,Conservation Status,forest,city,Region,Unique Fact,Season,active
Sunflower,Cactaceae,No,Least Concern,Urban Gardens,Jaipur,North India,Turns towards the sun,winter,night
Neem Tree,Musa acuminata,No,Near Threatened,Urban Gardens,Hyderabad,South India,Evergreen and long-lived,summer,night
Banana Plant,Mangifera indica,Yes,Endangered,Grasslands,Amravati,Northeast India,Symbol of love and beauty,winter,afternoon
Neem Tree,Aloe barbadensis,No,Endangered,Coastal Forests,Amravati,East India,Sacred plant in India,summer,afternoon
Pine Tree,Pinus,Yes,Least Concern,Coastal Forests,Pune,South India,Symbol of love and beauty,spring,night
Sunflower,Aloe barbadensis,Yes,Near Threatened,Rainforests,Mumbai,West India,Survives in arid climates,winter,night
Tulsi,Pinus,Yes,Vulnerable,Deserts,Bangalore,East India,National flower of India,summer,night
Rose,Azadirachta indica,Yes,Near Threatened,Coastal Forests,Delhi,Central India,Healing properties for skin,monsoon,morning
Pine Tree,Mangifera indica,No,Least Concern,Deserts,Lucknow,Central India,National flower of India,monsoon,night
Pine Tree,Cactaceae,Yes,Endangered,Deserts,Hyderabad,Northeast India,National flower of India,summer,night
Sunflower,Helianthus annuus,No,Vulnerable,Orchards,Hyderabad,Central India,Turns towards the sun,monsoon,afternoon
Lotus,Ocimum sanctum,No,Vulnerable,Grasslands,Lucknow,West India,National flower of India,monsoon,morning
Mango Tree,Ocimum sanctum,No,Endangered,Fields,Lucknow,Central India,National flower of India,spring,morning
Tulsi,Helianthus annuus,No,Vulnerable,Orchards,Hyderabad,East India,Turns towards the sun,monsoon,night
Sunflower,Helianthus annuus,No,Vulnerable,Mountains,Lucknow,North India,Evergreen and long-lived,summer,night
Sunflower,Nelumbo nucifera,No,Endangered,Deserts,Kolkata,East India,Symbol of love and beauty,spring,night
Sunflower,Nelumbo nucifera,Yes,Least Concern,Fields,Jaipur,East India,Healing properties for skin,monsoon,night
Sunflower,Pinus,No,Least Concern,Deserts,Mumbai,Northeast India,Evergreen and long-lived,monsoon,morning
